NR,Pr,Date,Diff
1,15133194,9/26/2019,94
2,202474480,11/26/2019,28
3,202495370,12/11/2019,18
4,202495070,12/13/2019,18
5,202500754,12/19/2019,11
6,202498357,12/19/2019,15
7,202503095,12/23/2019,18
8,202509922,1/8/2020,1
9,202506163,1/15/2020,1
10,202514969,1/15/2020,4
11,202507998,1/15/2020,2
12,202507989,1/15/2020,3
13,202508083,1/15/2020,6
14,202516897,1/16/2020,1
15,202517699,1/17/2020,1
16,202517729,1/17/2020,1
17,202509037,1/17/2020,1
18,202512586,1/17/2020,6
19,202510847,1/20/2020,4
20,202503148,1/20/2020,5
21,202509231,1/20/2020,10
22,202519041,1/21/2020,2
23,202512032,1/21/2020,3
24,202513764,1/21/2020,3
25,202520417,1/21/2020,4
26,202519015,1/21/2020,4
27,202520589,1/21/2020,4
28,202520845,1/22/2020,2
29,202520830,1/22/2020,3
30,202503505,1/22/2020,8
31,202522099,1/23/2020,2
32,202507836,1/23/2020,2
33,202504537,1/23/2020,3
34,202520378,1/23/2020,3
35,20024041,1/23/2020,3
36,202523029,1/24/2020,4
37,202522593,1/24/2020,5
38,202524524,1/24/2020,5
39,202518704,1/27/2020,4
40,202525859,1/27/2020,4
41,202525495,1/27/2020,5
42,202525830,1/27/2020,12
43,202524996,1/28/2020,1
44,202526897,1/28/2020,2
45,202527054,1/28/2020,2
46,202523848,1/28/2020,2
47,202526650,1/28/2020,2
48,202526942,1/28/2020,3
49,202527001,1/28/2020,3
50,202526932,1/28/2020,3
51,202526971,1/28/2020,11
52,202528110,1/29/2020,2
53,202527813,1/29/2020,3
54,202523623,1/29/2020,3
55,202524762,1/29/2020,3
56,15267585,1/30/2020,1
57,15267609,1/30/2020,1
58,202526027,1/30/2020,2
59,202529022,1/30/2020,2
60,202529112,1/30/2020,2
61,202525299,1/30/2020,2
62,202515163,1/30/2020,2
63,202524696,1/30/2020,2
64,202527095,1/30/2020,4
65,202526639,1/30/2020,9
66,202528487,1/30/2020,12
67,202530822,1/31/2020,5
68,202526054,1/31/2020,20
69,202528023,2/3/2020,4
70,202532549,2/3/2020,4
71,202532499,2/3/2020,4
72,202532181,2/3/2020,1
73,202532465,2/4/2020,3
74,202430031,2/4/2020,3
75,202534114,2/4/2020,3
76,202529723,2/4/2020,6
77,202532888,2/4/2020,10
78,202533911,2/5/2020,5
79,202533803,2/5/2020,5
80,202531357,2/5/2020,5
81,202527967,2/5/2020,5
82,202536506,2/6/2020,1
83,202536507,2/6/2020,3
84,202534151,2/6/2020,3
85,202454448,2/6/2020,5
86,202537785,2/7/2020,1
87,202534102,2/7/2020,2
88,202535635,2/7/2020,4
89,202530480,2/7/2020,4
90,202534440,2/7/2020,4
91,202537172,2/7/2020,5
92,202532946,2/7/2020,11
93,202526494,2/7/2020,15
94,202532453,2/10/2020,3
95,202536298,2/10/2020,4
96,202536562,2/10/2020,3
97,202536573,2/10/2020,3
98,202536632,2/10/2020,3
99,202536697,2/10/2020,3
100,202536650,2/10/2020,3
101,202536809,2/10/2020,5
102,202537376,2/10/2020,14
103,202536693,2/10/2020,15
104,202539867,2/11/2020,2
105,202539823,2/11/2020,2
106,202538817,2/11/2020,3
107,202539516,2/11/2020,3
108,202539372,2/11/2020,3
109,202539042,2/11/2020,2
110,202532373,2/12/2020,2
111,202541831,2/12/2020,3
112,202537082,2/12/2020,7
113,202541313,2/12/2020,7
114,202541431,2/13/2020,2
115,202539791,2/13/2020,3
116,202529792,2/13/2020,3
117,202538856,2/13/2020,3
118,202541222,2/14/2020,1
119,202536821,2/14/2020,2
120,202538810,2/14/2020,2
121,20024107,2/14/2020,2
122,202542840,2/14/2020,3
123,202541715,2/14/2020,8
124,202538713,2/14/2020,7
125,202543861,2/17/2020,2
126,202542439,2/17/2020,4
127,202530203,2/17/2020,4
128,202545744,2/18/2020,1
129,202537173,2/18/2020,3
130,202545611,2/18/2020,3
131,202546196,2/19/2020,2
132,202545864,2/19/2020,4
133,202546700,2/19/2020,3
134,202547769,2/19/2020,4
135,202546887,2/19/2020,3
136,202547319,2/19/2020,8
137,202547603,2/20/2020,1
138,202545035,2/20/2020,1
139,202549217,2/20/2020,1
140,202547490,2/20/2020,2
141,202545958,2/20/2020,5
142,202544660,2/21/2020,3
143,202549584,2/21/2020,2
144,202549991,2/21/2020,2
145,202550162,2/21/2020,1
146,202549875,2/24/2020,1
147,202550177,2/24/2020,2
148,202550233,2/24/2020,3
149,202548427,2/24/2020,4
150,202547369,2/24/2020,4
151,202429406,2/24/2020,4
152,202549196,2/25/2020,2
153,202552736,2/26/2020,2
154,202533485,2/26/2020,2
155,202553673,2/26/2020,2
156,202552331,2/26/2020,2
157,202551881,2/27/2020,4
158,202552460,2/27/2020,6
159,202554358,2/27/2020,13
160,202556467,3/2/2020,8
161,202558495,3/3/2020,7
162,202558088,3/4/2020,3
163,202558593,3/4/2020,6
164,202559848,3/5/2020,2
165,202560587,3/5/2020,4
166,202561313,3/6/2020,6
167,202564436,3/10/2020,2
168,202567397,3/12/2020,1
169,202567846,3/17/2020,4
170,202566218,3/18/2020,3
171,202574286,3/23/2020,2
172,202575270,3/25/2020,1
173,202577499,3/26/2020,3
174,202530209,4/20/2020,10
175,202589088,4/21/2020,3
176,202590012,4/22/2020,1
177,202592093,4/29/2020,1
178,202560886,4/29/2020,9
179,202571028,4/30/2020,1
180,202581436,5/4/2020,1
181,202562925,5/4/2020,1
182,202581215,5/4/2020,5
183,202593819,5/6/2020,2
184,202585190,5/7/2020,6
185,202594460,5/7/2020,3
186,202594463,5/8/2020,2
187,202594479,5/8/2020,2
188,202594826,5/12/2020,2
189,202594811,5/12/2020,2
190,202591178,5/12/2020,2
191,202576892,5/14/2020,2
192,202596042,5/14/2020,2
193,202592336,5/19/2020,1
194,202594241,5/19/2020,1
195,202594462,5/19/2020,1
196,202594327,5/19/2020,2
197,202540243,3/4/2020,56
198,202579382,5/19/2020,4
199,202594263,5/19/2020,4
